cd_rm,nm_rm,cd_nucleo,nm_nucleo,uf_nucleo,n_municipios,pop_rm
4901,Região Metropolitana de São Paulo,3550308,São Paulo,SP,39,20731919
4801,Região Metropolitana do Rio de Janeiro,3304557,Rio de Janeiro,RJ,22,12021871
4501,Região Metropolitana de Belo Horizonte,3106200,Belo Horizonte,MG,34,5128282
7801,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,5300108,Brasília,DF,34,4484116
7401,Região Metropolitana de Porto Alegre,4314902,Porto Alegre,RS,34,4018915
1401,Região Metropolitana de Fortaleza,2304400,Fortaleza,CE,19,3905891
3001,Região Metropolitana de Recife,2611606,Recife,PE,14,3726974
5501,Região Metropolitana de Curitiba,4106902,Curitiba,PR,29,3560258
4201,Região Metropolitana de Salvador,2927408,Salvador,BA,13,3415021
5101,Região Metropolitana de Campinas,3509502,Campinas,SP,20,3178600
7701,Região Metropolitana de Goiânia,5208707,Goiânia,GO,21,2600936
201,Região Metropolitana de Manaus,1302603,Manaus,AM,13,2532518
5201,Região Metropolitana do Vale do Paraíba e Litoral Norte,3549904,São José dos Campos,SP,39,2505723
601,Região Metropolitana de Belém,1501402,Belém,PA,7,2243895
5301,Região Metropolitana de Sorocaba,3552205,Sorocaba,SP,27,2174524
4701,Região Metropolitana da Grande Vitória,3205002,Serra,ES,7,1880827
5001,Região Metropolitana da Baixada Santista,3548500,Santos,SP,9,1805530
5401,Região Metropolitana de Ribeirão Preto,3543402,Ribeirão Preto,SP,34,1648110
1101,Região Metropolitana da Grande São Luís,2111300,São Luís,MA,13,1646004
1701,Região Metropolitana de Natal,2408102,Natal,RN,15,1527660
8201,Região Metropolitana de Piracicaba,3538709,Piracicaba,SP,24,1519023
6301,Região Metropolitana de Florianópolis,4205407,Florianópolis,SC,22,1356860
1801,Região Metropolitana de João Pessoa,2507507,João Pessoa,PB,12,1304280
3201,Região Metropolitana de Maceió,2704302,Maceió,AL,13,1300608
5601,Região Metropolitana de Londrina,4113700,Londrina,PR,25,1088734
1301,Região Integrada de Desenvolvimento da Grande Teresina,2211001,Teresina,PI,13,1072143
7601,Região Metropolitana do Vale do Rio Cuiabá,5103403,Cuiabá,MT,6,1003144
8002,Região Metropolitana de São José do Rio Preto,3549805,São José do Rio Preto,SP,37,971097
4101,Região Metropolitana de Aracaju,2800308,Aracaju,SE,4,932210
8601,Região Metropolitana de Joinville ,4209102,Joinville,SC,9,913519
5701,Região Metropolitana de Maringá,4115200,Maringá,PR,26,851828
8101,Região Metropolitana de Jundiaí,3525904,Jundiaí,SP,7,843633
6401,Região Metropolitana do Vale do Itajaí,4202404,Blumenau,SC,16,841698
3101,Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,2611101,Petrolina,PE,8,834632
7501,Região Metropolitana da Serra Gaúcha,4305108,Caxias do Sul,RS,14,804707
